PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-R9TEA9,3,NEPOOL_BECO_25927971009,12/11/2019 9:21,20191211092200810000_NEPOOL_BECO_25927971009,12/11/2019 9:22,FORECAST_COMPLETE,12/11/2019 9:38,SUCCESS
1-ZPTS5E,1,ERCOT_ONCOR_10443720006583921,12/11/2019 9:21,20191211092201700000_ERCOT_ONCOR_10443720006583921,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_AEPCPL_10032789418240835,12/11/2019 9:21,20191211092201513000_ERCOT_AEPCPL_10032789418240835,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720002105441,12/11/2019 9:21,20191211092201528000_ERCOT_ONCOR_10443720002105441,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_CPT_1008901023900460950111,12/11/2019 9:21,20191211092201528000_ERCOT_CPT_1008901023900460950111,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720000275387,12/11/2019 9:21,20191211092201044000_ERCOT_ONCOR_10443720000275387,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720007813994,12/11/2019 9:21,20191211092200966000_ERCOT_ONCOR_10443720007813994,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_CPT_1008901023817478470106,12/11/2019 9:21,20191211092200825000_ERCOT_CPT_1008901023817478470106,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-R9TEA9,3,NEPOOL_BECO_25927791001,12/11/2019 9:21,20191211092200622000_NEPOOL_BECO_25927791001,12/11/2019 9:22,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720006911794,12/11/2019 9:20,20191211092106739000_ERCOT_ONCOR_10443720006911794,12/11/2019 9:21,FORECAST_COMPLETE,12/11/2019 9:38,SUCCESS
1-IYA7AR,2,NEPOOL_PSNH_80041430168,12/11/2019 9:20,20191211092106817000_NEPOOL_PSNH_80041430168,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720004849471,12/11/2019 9:20,20191211092107536000_ERCOT_ONCOR_10443720004849471,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720000190699,12/11/2019 9:20,20191211092106849000_ERCOT_ONCOR_10443720000190699,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_AEPCPL_10032789409118630,12/11/2019 9:20,20191211092106849000_ERCOT_AEPCPL_10032789409118630,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720002856822,12/11/2019 9:20,20191211092106692000_ERCOT_ONCOR_10443720002856822,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_TNMP_10400515371890001,12/11/2019 9:20,20191211092106614000_ERCOT_TNMP_10400515371890001,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720002105472,12/11/2019 9:20,20191211092107427000_ERCOT_ONCOR_10443720002105472,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZPTS5E,1,ERCOT_ONCOR_10443720006893846,12/11/2019 9:20,20191211092106599000_ERCOT_ONCOR_10443720006893846,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-R9TEA9,3,NEPOOL_BECO_25927981008,12/11/2019 9:20,20191211092106630000_NEPOOL_BECO_25927981008,12/11/2019 9:21,FORECASTING IN PROGRESS,,
1-ZE1F24,1,PJM_PSEG_PE000008686808043854,12/11/2019 9:16,20191211091706439000_PJM_PSEG_PE000008686808043854,12/11/2019 9:17,WAITING,12/11/2019 9:39,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000008053906779734,12/11/2019 9:16,20191211091707596000_PJM_PSEG_PE000008053906779734,12/11/2019 9:17,FORECAST_COMPLETE,12/11/2019 9:34,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000010230277545639,12/11/2019 9:16,20191211091706471000_PJM_PSEG_PE000010230277545639,12/11/2019 9:17,FORECAST_COMPLETE,12/11/2019 9:34,SUCCESS
1-ZPMVCE,1,PJM_PECO_5735401109,12/11/2019 9:16,20191211091706611000_PJM_PECO_5735401109,12/11/2019 9:17,FORECAST_COMPLETE,12/11/2019 9:34,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000010473350655632,12/11/2019 9:16,20191211091706471000_PJM_PSEG_PE000010473350655632,12/11/2019 9:17,FORECAST_COMPLETE,12/11/2019 9:34,SUCCESS
1-ZPKSZM,1,PJM_COMED_4744116018,12/11/2019 9:10,20191211091106044000_PJM_COMED_4744116018,12/11/2019 9:11,FORECAST_COMPLETE,12/11/2019 9:27,SUCCESS
1-ZPKSZM,1,PJM_COMED_4744118003,12/11/2019 9:10,20191211091106044000_PJM_COMED_4744118003,12/11/2019 9:11,FORECAST_COMPLETE,12/11/2019 9:28,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000008781119643476,12/11/2019 9:10,20191211091105982000_PJM_PSEG_PE000008781119643476,12/11/2019 9:11,FORECAST_COMPLETE,12/11/2019 9:27,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000012124076643854,12/11/2019 9:10,20191211091105997000_PJM_PSEG_PE000012124076643854,12/11/2019 9:11,FORECAST_COMPLETE,12/11/2019 9:27,SUCCESS
1-Z56RVU,1,NEPOOL_MECO_0998203017,12/11/2019 9:10,20191211091106044000_NEPOOL_MECO_0998203017,12/11/2019 9:11,FORECASTING IN PROGRESS,,
1-ZOFIHN,1,NEPOOL_NRI_7476130003,12/11/2019 9:10,20191211091106169000_NEPOOL_NRI_7476130003,12/11/2019 9:11,FORECASTING IN PROGRESS,,
1-ZPKSZM,1,PJM_COMED_1299612008,12/11/2019 9:06,20191211090701384000_PJM_COMED_1299612008,12/11/2019 9:07,FORECAST_COMPLETE,12/11/2019 9:23,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000009903695643197,12/11/2019 9:06,20191211090701477000_PJM_PSEG_PE000009903695643197,12/11/2019 9:07,FORECAST_COMPLETE,12/11/2019 9:25,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000012077459143854,12/11/2019 9:06,20191211090701431000_PJM_PSEG_PE000012077459143854,12/11/2019 9:07,FORECAST_COMPLETE,12/11/2019 9:24,SUCCESS
1-ZE1F24,1,PJM_PSEG_PE000011645530445641,12/11/2019 9:06,20191211090701415000_PJM_PSEG_PE000011645530445641,12/11/2019 9:07,FORECAST_COMPLETE,12/11/2019 9:23,SUCCESS
1-ZKCBKZ,2,ERCOT_AEPCPL_10032789404735521,12/11/2019 9:05,20191211090605985000_ERCOT_AEPCPL_10032789404735521,12/11/2019 9:06,FORECAST_COMPLETE,12/11/2019 9:21,SUCCESS
1-ZD90NK,1,PJM_DQE_9062366251,12/11/2019 9:00,20191211090100801000_PJM_DQE_9062366251,12/11/2019 9:01,FORECAST_COMPLETE,12/11/2019 9:16,SUCCESS
1-ZD28G4,2,PJM_PPL_8420547000,12/11/2019 8:56,20191211085702251000_PJM_PPL_8420547000,12/11/2019 8:57,FORECAST_COMPLETE,12/11/2019 9:16,SUCCESS
1-ZD28G4,2,PJM_PPL_8940159006,12/11/2019 8:56,20191211085702251000_PJM_PPL_8940159006,12/11/2019 8:57,FORECAST_COMPLETE,12/11/2019 9:16,SUCCESS
1-ZD28G4,2,PJM_PPL_5967033008,12/11/2019 8:56,20191211085702095000_PJM_PPL_5967033008,12/11/2019 8:57,FORECAST_COMPLETE,12/11/2019 9:16,SUCCESS
1-ZD28G4,2,PJM_PPL_9523585005,12/11/2019 8:56,20191211085702314000_PJM_PPL_9523585005,12/11/2019 8:57,FORECAST_COMPLETE,12/11/2019 9:20,SUCCESS
