1000	C20191028113400	20191028	113400	049050839	ENERGY SERVICES GROUP INC.	099668332	SERNA
2000	3796732910	20191024	22480000	006952626	MASS ELECTRIC	099668332	SERNA						USGH	E				52															MA													000163493												AD_HOC	AD_HOC_REQUEST_FOUND							
3000	3796732910	8S	006952626	MASS ELECTRIC																						
3000	3796732910	SJ	099668332	ENGIE RESOURCES LLC																						
4000	3796732910	8R	WREN																																																																																								
5000	3796732910		3803594017			34.851																					SEMASS				ICAP TAG																																															
6000	3796732910	BB					G3				K1	728.8	QD	20190831		20190930			728.8			22																																														V																																																																										
6000	3796732910	BB					G3				KH	84149	QD	20190831		20190930			84149			22																																														V																																																																										
6000	3796732910	BB					G3				K1	714.8	QD	20190731		20190831			714.8			22																																														V																																																																										
6000	3796732910	BB					G3				KH	100512	QD	20190731		20190831			100512			22																																														V																																																																										
6000	3796732910	BB					G3				K1	736.5	QD	20190630		20190731			736.5			22																																														V																																																																										
6000	3796732910	BB					G3				KH	100883	QD	20190630		20190731			100883			22																																														V																																																																										
6000	3796732910	BB					G3				K1	762.4	QD	20190531		20190630			762.4			22																																														V																																																																										
6000	3796732910	BB					G3				KH	102186	QD	20190531		20190630			102186			22																																														V																																																																										
6000	3796732910	BB					G3				K1	766.1	QD	20190430		20190531			766.1			22																																														V																																																																										
6000	3796732910	BB					G3				KH	108796	QD	20190430		20190531			108796			22																																														V																																																																										
6000	3796732910	BB					G3				K1	701.1	QD	20190331		20190430			701.1			22																																														V																																																																										
6000	3796732910	BB					G3				KH	85382	QD	20190331		20190430			85382			22																																														V																																																																										
6000	3796732910	BB					G3				K1	629.5	QD	20190228		20190331			629.5			22																																														V																																																																										
6000	3796732910	BB					G3				KH	65904	QD	20190228		20190331			65904			22																																														V																																																																										
6000	3796732910	BB					G3				K1	94.1	QD	20190131		20190228			94.1			22																																														V																																																																										
6000	3796732910	BB					G3				KH	56273	QD	20190131		20190228			56273			22																																														V																																																																										
6000	3796732910	BB					G3				K1	127.3	QD	20181231		20190131			127.3			22																																														V																																																																										
6000	3796732910	BB					G3				KH	62382	QD	20181231		20190131			62382			22																																														V																																																																										
6000	3796732910	BB					G3				K1	750.7	QD	20181130		20181231			750.7			22																																														V																																																																										
6000	3796732910	BB					G3				KH	106737	QD	20181130		20181231			106737			22																																														V																																																																										
6000	3796732910	BB					G3				K1	776.9	QD	20181031		20181130			776.9			22																																														V																																																																										
6000	3796732910	BB					G3				KH	106138	QD	20181031		20181130			106138			22																																														V																																																																										
6000	3796732910	BB					G3				K1	801.4	QD	20180930		20181031			801.4			22																																														V																																																																										
6000	3796732910	BB					G3				KH	117795	QD	20180930		20181031			117795			22																																														V																																																																										
9900	C20191028113400	31			1
