t,v
5/21/2019 0:00,5.457420899
5/21/2019 1:00,5.200465734
5/21/2019 2:00,5.181289975
5/21/2019 3:00,5.188960279
5/21/2019 4:00,5.376882713
5/21/2019 5:00,6.128572451
5/21/2019 6:00,6.676999147
5/21/2019 7:00,7.252271905
5/21/2019 8:00,8.000126491
5/21/2019 9:00,8.08833498
5/21/2019 10:00,8.859200476
5/21/2019 11:00,9.33475929
5/21/2019 12:00,9.26956171
5/21/2019 13:00,8.985760483
5/21/2019 14:00,8.932068359
5/21/2019 15:00,8.306938628
5/21/2019 16:00,8.084499828
5/21/2019 17:00,7.97711558
5/21/2019 18:00,7.804533753
5/21/2019 19:00,7.700984656
5/21/2019 20:00,7.459370098
5/21/2019 21:00,6.512087623
5/21/2019 22:00,5.342366348
5/21/2019 23:00,4.92433481
5/22/2019 0:00,4.398919024
5/22/2019 1:00,4.023074156
5/22/2019 2:00,3.980887487
5/22/2019 3:00,3.938700818
5/22/2019 4:00,4.184150528
5/22/2019 5:00,4.797774803
5/22/2019 6:00,5.261828162
5/22/2019 7:00,5.97133123
5/22/2019 8:00,6.972305829
5/22/2019 9:00,7.536073132
5/22/2019 10:00,7.961774973
5/22/2019 11:00,8.280092566
5/22/2019 12:00,8.06532407
5/22/2019 13:00,8.441168938
5/22/2019 14:00,8.625256221
5/22/2019 15:00,8.571564097
5/22/2019 16:00,8.372136208
5/22/2019 17:00,8.517871973
5/22/2019 18:00,8.42199318
5/22/2019 19:00,7.827544663
5/22/2019 20:00,7.524567677
5/22/2019 21:00,6.738361574
5/22/2019 22:00,5.576310603
5/22/2019 23:00,4.920499658
5/23/2019 0:00,4.490962666
5/23/2019 1:00,4.176480224
5/23/2019 2:00,4.046085066
5/23/2019 3:00,4.268523866
5/23/2019 4:00,4.682720252
5/23/2019 5:00,5.323190589
5/23/2019 6:00,6.228286395
5/23/2019 7:00,6.914778553
5/23/2019 8:00,7.980950732
5/23/2019 9:00,8.349125297
5/23/2019 10:00,8.744145924
5/23/2019 11:00,9.024112
5/23/2019 12:00,9.181353221
5/23/2019 13:00,9.426802931
5/23/2019 14:00,9.561033241
5/23/2019 15:00,9.215869586
5/23/2019 16:00,9.066298669
5/23/2019 17:00,8.571564097
5/23/2019 18:00,8.115181042
5/23/2019 19:00,8.157367711
5/23/2019 20:00,7.804533753
5/23/2019 21:00,6.933954312
5/23/2019 22:00,5.610826968
5/23/2019 23:00,5.081576031
5/24/2019 0:00,4.613687521
5/24/2019 1:00,4.134293556
5/24/2019 2:00,4.095942038
5/24/2019 3:00,4.218666893
5/24/2019 4:00,4.444940845
5/24/2019 5:00,4.943510569
5/24/2019 6:00,5.537959085
5/24/2019 7:00,6.596460961
5/24/2019 8:00,7.95410467
5/24/2019 9:00,8.571564097
5/24/2019 10:00,9.261891407
5/24/2019 11:00,9.538022331
5/24/2019 12:00,9.722109613
5/24/2019 13:00,9.645406579
5/24/2019 14:00,9.407627172
5/24/2019 15:00,9.208199283
5/24/2019 16:00,8.817013807
5/24/2019 17:00,8.529377428
5/24/2019 18:00,8.379806511
5/24/2019 19:00,8.379806511
5/24/2019 20:00,8.08833498
5/24/2019 21:00,7.194744629
5/24/2019 22:00,5.986671837
5/24/2019 23:00,5.027883907
5/25/2019 0:00,4.402754176
5/25/2019 1:00,3.961711728
5/25/2019 2:00,3.812140811
5/25/2019 3:00,3.911854756
5/25/2019 4:00,4.057590521
5/25/2019 5:00,4.429600238
5/25/2019 6:00,4.536984486
5/25/2019 7:00,4.774763893
5/25/2019 8:00,5.177454824
5/25/2019 9:00,5.913803954
5/25/2019 10:00,6.362516706
5/25/2019 11:00,6.765207636
5/25/2019 12:00,6.746031878
5/25/2019 13:00,7.110371291
5/25/2019 14:00,7.259942208
5/25/2019 15:00,7.328974939
5/25/2019 16:00,7.482381008
5/25/2019 17:00,7.562919194
5/25/2019 18:00,7.62044647
5/25/2019 19:00,7.467040401
5/25/2019 20:00,7.282953119
5/25/2019 21:00,6.642482781
5/25/2019 22:00,5.733551823
5/25/2019 23:00,4.843796624
5/26/2019 0:00,4.759423286
5/26/2019 1:00,4.333721445
5/26/2019 2:00,4.184150528
5/26/2019 3:00,4.161139618
5/26/2019 4:00,4.249348107
5/26/2019 5:00,4.437270541
5/26/2019 6:00,4.686555403
5/26/2019 7:00,4.978026934
5/26/2019 8:00,5.211971189
5/26/2019 9:00,5.886957892
5/26/2019 10:00,6.857251278
5/26/2019 11:00,7.520732525
