Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
0234607035 JORDAN'S FURNITUREE,10/1/2017,1 kWh,kWh,9.4,9.44,9.4,9.48,9.4,9.56,9.96,10.08,61.24,96.84,74.8,101.6,79.88,99.28,82.16,101.96,83.4,103.04,70.6,15.44,9.8,9.76,9.52,9.48
0234607035 JORDAN'S FURNITUREE,10/2/2017,1 kWh,kWh,9.52,9.52,9.44,9.48,9.48,9.84,55.48,77.48,79.4,89.16,91.76,96.32,83.32,92.96,90.8,102.12,78.32,93.36,67.72,70.08,91.12,61.76,10.04,9.64
0234607035 JORDAN'S FURNITUREE,10/3/2017,1 kWh,kWh,9.64,9.68,9.64,9.68,9.68,10.04,55.36,65.64,84.64,75.96,100.04,78.08,98.68,77.64,96.04,70.8,95.8,78.84,99.64,71.16,87.0,68.8,10.84,10.32
0234607035 JORDAN'S FURNITUREE,10/4/2017,1 kWh,kWh,10.32,10.32,10.2,10.32,10.36,10.72,55.84,69.48,78.52,78.92,100.32,79.88,108.72,81.08,91.56,96.0,91.68,107.48,85.28,104.4,83.12,93.84,10.28,9.68
0234607035 JORDAN'S FURNITUREE,10/5/2017,1 kWh,kWh,9.72,9.6,9.64,9.68,9.68,10.0,77.48,101.84,82.32,107.84,102.92,97.32,109.04,97.8,105.4,111.08,108.96,92.24,108.08,97.72,97.96,104.48,10.28,9.48
0234607035 JORDAN'S FURNITUREE,10/6/2017,1 kWh,kWh,9.44,9.36,9.48,9.36,9.32,9.76,76.04,98.16,99.44,106.28,100.04,112.84,87.92,106.52,104.88,104.6,89.92,101.24,108.04,85.56,104.04,78.84,10.0,9.68
0234607035 JORDAN'S FURNITUREE,10/7/2017,1 kWh,kWh,9.56,9.44,9.48,9.52,9.48,9.76,78.04,100.16,81.28,103.92,85.52,103.92,108.2,94.64,112.0,94.76,109.6,110.04,90.56,112.08,95.2,98.16,9.52,9.44
0234607035 JORDAN'S FURNITUREE,10/8/2017,1 kWh,kWh,9.4,9.44,9.36,9.4,9.32,9.6,9.92,10.0,100.08,104.8,108.36,107.4,108.52,92.36,108.16,108.12,104.24,98.48,77.36,16.64,9.8,9.68,9.44,9.44
0234607035 JORDAN'S FURNITUREE,10/9/2017,1 kWh,kWh,9.4,9.32,9.44,9.36,9.32,9.76,78.08,100.04,102.84,106.68,108.64,109.16,109.04,108.72,94.68,109.24,108.6,108.12,85.92,74.88,51.6,61.64,9.8,9.36
0234607035 JORDAN'S FURNITUREE,10/10/2017,1 kWh,kWh,9.32,9.4,9.32,9.28,9.32,9.72,77.16,99.92,102.72,107.12,109.12,109.32,92.64,119.72,86.84,109.2,107.84,91.24,84.96,97.48,104.28,80.64,9.8,8.88
