Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
8000534 03,7/1/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000534 03,7/2/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000534 03,7/3/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000534 03,7/4/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000534 03,7/5/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000534 03,7/6/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000534 03,7/7/2015,G28823358 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.75,287.0,272.125,289.625,294.875,288.75,282.625,243.25,196.0,180.25,174.125,175.0,175.875,170.625,168.0
8000534 03,7/8/2015,G28823358 1 kWh,kWh,165.375,160.125,154.875,153.125,154.0,153.125,157.5,169.75,199.5,252.0,260.75,295.75,280.875,283.5,287.875,285.25,275.625,213.5,182.0,170.625,159.25,153.125,156.625,149.625
8000534 03,7/9/2015,G28823358 1 kWh,kWh,147.0,141.75,142.625,137.375,138.25,136.5,138.25,147.875,191.625,245.875,252.875,254.625,262.5,261.625,259.0,252.0,256.375,197.75,168.0,161.875,157.5,159.25,152.25,148.75
8000534 03,7/10/2015,G28823358 1 kWh,kWh,143.5,141.75,140.875,143.5,136.5,139.125,140.875,151.375,193.375,224.875,262.5,287.0,285.25,292.25,301.0,306.25,312.375,245.875,212.625,200.375,192.5,183.75,181.125,174.125
8000534 03,7/11/2015,G28823358 1 kWh,kWh,165.375,163.625,161.0,161.875,155.75,157.5,158.375,161.875,210.875,280.0,335.125,386.75,380.625,402.5,404.25,406.875,400.75,371.0,284.375,258.125,247.625,235.375,232.75,217.0
8000534 03,7/12/2015,G28823358 1 kWh,kWh,209.125,199.5,200.375,203.875,194.25,193.375,201.25,213.5,284.375,359.625,382.375,401.625,409.5,402.5,405.125,418.25,424.375,373.625,281.75,263.375,258.125,251.125,229.25,217.0
8000534 03,7/13/2015,G28823358 1 kWh,kWh,202.125,195.125,192.5,187.25,182.875,178.5,181.125,204.75,257.25,279.125,326.375,357.0,371.875,374.5,369.25,336.875,350.875,255.5,225.75,207.375,200.375,202.125,192.5,183.75
8000534 03,7/14/2015,G28823358 1 kWh,kWh,178.5,172.375,170.625,175.0,171.5,166.25,164.5,189.0,246.75,307.125,362.25,349.125,354.375,340.375,296.625,305.375,313.25,245.875,224.875,217.0,202.125,193.375,195.125,197.75
