Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
1403187030A 700132,10/29/2018,1 kWh,kWh,267.96,256.2,253.26,245.7,283.5,283.5,304.5,388.92,446.88,447.3,433.86,400.26,412.86,410.34,404.46,388.92,443.52,441.42,441.84,421.68,431.34,437.22,434.7,414.12
1403187030A 700132,10/30/2018,1 kWh,kWh,409.08,393.96,385.98,401.94,397.74,388.5,334.32,331.38,389.76,403.62,396.48,447.72,452.34,448.14,443.52,430.5,446.04,424.2,449.82,443.52,430.5,412.44,396.9,393.12
1403187030A 700132,10/31/2018,1 kWh,kWh,396.48,388.5,413.7,433.44,435.54,425.04,385.98,386.4,376.32,381.78,367.92,375.9,403.62,395.64,414.12,420.84,441.42,436.38,420.0,437.22,410.76,414.96,420.42,407.4
1403187030A 700132,11/1/2018,1 kWh,kWh,401.94,404.88,396.06,396.9,401.52,390.6,396.48,395.22,388.92,399.84,393.96,405.72,394.8,386.4,383.88,386.82,394.8,409.08,409.08,394.38,396.9,393.54,399.42,388.5
1403187030A 700132,11/2/2018,1 kWh,kWh,401.1,392.28,381.78,380.52,379.26,376.74,376.74,406.56,417.48,405.3,438.9,403.62,401.94,406.56,385.98,360.78,360.78,349.44,365.4,329.28,328.44,374.64,367.08,362.04
1403187030A 700132,11/3/2018,1 kWh,kWh,368.76,370.44,359.94,358.26,371.28,363.72,372.12,382.2,381.78,416.64,414.12,384.3,379.68,380.52,415.8,414.12,412.86,392.28,378.0,378.0,388.92,414.96,401.52,412.02
1403187030A 700132,11/4/2018,1 kWh,kWh,399.84,396.9,396.06,399.42,399.84,399.0,383.04,351.96,388.92,404.04,392.7,401.1,394.8,367.08,372.12,367.92,364.98,366.24,368.76,378.42,401.94,386.82,338.52,312.9
1403187030A 700132,11/5/2018,1 kWh,kWh,326.34,334.74,337.68,334.32,334.74,343.98,349.44,413.28,380.52,393.96,380.94,351.12,362.88,362.46,371.7,430.92,455.7,437.64,405.3,379.68,377.58,390.18,390.6,372.96
1403187030A 700132,11/6/2018,1 kWh,kWh,390.18,399.42,384.3,374.64,396.48,388.08,382.2,372.96,408.24,381.36,400.68,385.14,381.36,372.12,366.24,377.16,424.2,457.8,450.24,407.82,429.66,436.38,427.56,391.02
1403187030A 700132,11/7/2018,1 kWh,kWh,417.06,396.48,422.94,431.34,435.96,425.04,395.64,388.08,441.42,402.78,419.16,422.1,394.8,413.7,441.84,401.94,420.84,412.86,396.9,404.46,415.8,417.06,426.3,382.62
1403187030A 700132,11/8/2018,1 kWh,kWh,434.28,423.78,404.88,399.0,425.46,420.42,338.1,323.82,364.98,440.16,407.4,404.46,400.26,412.02,399.84,404.04,433.44,441.42,443.1,437.22,447.72,430.92,446.04,446.88
1403187030A 700132,11/9/2018,1 kWh,kWh,449.82,444.36,407.82,437.64,443.1,437.22,400.26,383.46,404.04,424.2,398.58,386.4,395.22,402.36,408.66,383.88,401.52,435.12,450.66,446.04,439.32,436.8,437.22,423.78
1403187030A 700132,11/10/2018,1 kWh,kWh,436.8,426.3,411.6,423.36,426.3,419.58,442.26,414.12,422.52,414.96,382.2,538.86,452.34,441.84,419.16,397.74,436.38,445.62,457.38,483.42,517.02,495.18,511.14,459.9
