Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
267217032,8/6/2019,081146471 1 kWh,kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1272,183.708,185.328,189.648,196.02,195.048,201.636,193.86,191.16,189.972,194.076,190.94400000000002
267217032,8/7/2019,081146471 1 kWh,kWh,177.44400000000002,178.416,182.952,178.092,179.06400000000002,182.952,178.74,179.28,188.136,164.7,154.116,162.108,165.132,176.25599999999997,192.24,194.832,193.53599999999997,189.972,191.484,187.16400000000002,188.028,184.68,183.708,182.412
267217032,8/8/2019,081146471 1 kWh,kWh,176.90400000000002,187.812,186.3,184.572,188.892,183.27599999999998,176.472,170.424,174.636,157.78799999999998,161.892,159.94799999999998,163.296,164.37599999999998,179.928,198.18,216.108,211.572,210.27599999999998,199.15200000000002,191.7,192.56400000000002,188.46,191.484
267217032,8/9/2019,081146471 1 kWh,kWh,186.084,184.248,182.628,185.868,185.976,181.872,170.31599999999997,166.428,157.14,158.004,165.672,158.54399999999998,169.02,167.50799999999998,180.36,185.328,191.05200000000002,201.42,199.368,196.236,196.56,192.78,188.78400000000002,185.544
267217032,8/10/2019,081146471 1 kWh,kWh,185.868,190.188,186.84,179.82,150.984,148.17600000000002,138.564,125.064,126.57600000000001,125.604,133.27200000000002,137.16,151.84799999999998,171.396,178.74,175.93200000000002,187.16400000000002,189.75599999999997,191.7,185.868,178.74,171.612,183.924,182.52
267217032,8/11/2019,081146471 1 kWh,kWh,185.65200000000002,180.252,178.84799999999998,178.524,178.092,172.15200000000002,162.0,149.58,153.252,147.096,148.5,158.54399999999998,153.9,164.484,168.15599999999998,171.18,184.78799999999998,191.268,197.1,191.592,197.1,195.15599999999998,192.132,186.62400000000002
267217032,8/12/2019,081146471 1 kWh,kWh,184.896,181.548,185.328,180.576,177.12,174.204,157.032,140.184,135.756,135.54,135.0,135.0,142.344,146.77200000000002,169.668,169.88400000000001,179.28,182.84400000000002,179.71200000000002,178.632,174.204,183.06,192.024,191.916
267217032,8/13/2019,081146471 1 kWh,kWh,192.024,191.808,192.132,190.62,187.812,190.62,190.512,189.54,195.15599999999998,192.34799999999998,185.65200000000002,198.93599999999998,201.74400000000003,194.4,189.75599999999997,195.048,185.00400000000002,189.43200000000002,198.396,191.916,188.24400000000003,189.324,190.94400000000002,191.808
267217032,8/14/2019,081146471 1 kWh,kWh,191.268,195.264,187.59599999999998,187.704,187.05599999999998,187.16400000000002,181.22400000000002,182.304,192.78,190.08,184.78799999999998,183.6,183.924,193.53599999999997,198.828,200.988,197.64,190.94400000000002,195.264,196.34400000000002,190.62,194.076,188.028,184.896
267217032,8/15/2019,081146471 1 kWh,kWh,186.94799999999998,187.92,189.21599999999998,187.16400000000002,187.92,179.49599999999998,163.296,167.18400000000003,165.024,161.784,162.43200000000002,160.92,160.056,168.048,172.692,181.98,194.832,195.264,199.044,192.34799999999998,188.676,187.812,188.56799999999998,189.648
267217032,8/16/2019,081146471 1 kWh,kWh,184.248,183.38400000000001,191.484,190.188,191.484,179.49599999999998,175.176,184.68,179.928,165.024,152.496,155.844,152.388,165.56400000000002,174.96,194.292,193.104,199.8,200.016,196.128,196.99200000000002,193.86,192.78,190.188
267217032,8/17/2019,081146471 1 kWh,kWh,193.21200000000002,191.268,193.752,188.676,188.78400000000002,187.05599999999998,183.06,167.076,135.32399999999998,134.352,117.50399999999999,81.432,78.192,90.18,96.984,117.396,125.604,128.628,139.968,144.936,139.86,136.62,136.72799999999998,134.028
267217032,8/18/2019,081146471 1 kWh,kWh,134.892,136.296,135.972,132.94799999999998,135.756,132.84,125.38799999999999,128.736,115.992,123.228,115.77600000000001,108.10799999999999,118.584,122.148,121.39200000000001,135.756,144.936,146.124,149.58,150.55200000000002,145.26,140.724,135.864,131.22
267217032,8/19/2019,081146471 1 kWh,kWh,126.57600000000001,131.54399999999998,132.732,129.816,149.58,147.312,129.924,120.204,138.672,135.972,136.188,129.276,137.16,139.32,137.808,170.424,172.584,151.632,158.112,146.88,147.852,144.936,142.99200000000002,129.6
267217032,8/20/2019,081146471 1 kWh,kWh,145.368,153.144,154.44,158.22,165.132,161.244,153.36,137.808,132.84,138.024,145.26,153.144,164.268,168.15599999999998,170.856,188.352,200.12400000000002,206.06400000000002,199.908,192.24,191.7,200.88,200.016,189.54
