Account,Date,Channel,Units,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
2766928010 D W CLARK CO INC,11/1/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/1/2018,1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/1/2018,2,kVAh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/2/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/2/2018,1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/2/2018,2,kVAh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/3/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/3/2018,1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/3/2018,2,kVAh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/4/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/4/2018,1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/4/2018,2,kVAh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/5/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/5/2018,1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/5/2018,2,kVAh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/6/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/6/2018,1 Power Factor,Power Factor,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/6/2018,2,kVAh,,,,,,,,,,,,,,,,,,,,,,,,
2766928010 D W CLARK CO INC,11/7/2018,1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,
