datasource_id	nr_gap_check_flags	flow_id	flow_timestamp
"NYISO_ORU_5235106087"	1	"d3391f7488df40ab99bcb93ca9ded9a1"	"2019-10-19T10:42:54-05:00"
"NEPOOL_MECO_1365034010"	1	"feffe620a15c4ab8a25d9cd5f7950db1"	"2019-10-19T04:30:26-05:00"
"NYISO_NYSEG_N01000004280012"	1	"3f5cf705d2544a468d4d8e85db5dda64"	"2019-10-18T16:33:42-05:00"
"NYISO_NIMO_2038281008"	1	"eb1076f3b57446fc9a9379bb421b8d88"	"2019-10-18T16:33:02-05:00"
"NYISO_NIMO_1054032102"	1	"ebcbd239ba8946a3b2be90dd56089563"	"2019-10-18T16:33:01-05:00"
"NYISO_NIMO_2256465104"	1	"b8473730dae642ffa67b0119378319d3"	"2019-10-18T16:33:00-05:00"
"NYISO_NIMO_0768163006"	1	"aede419f91fd4c4e90d865ed761e5717"	"2019-10-18T16:32:51-05:00"
"NYISO_NIMO_1140634001"	1	"916caa971e4743918faa813e09b226cd"	"2019-10-18T16:31:34-05:00"
"NYISO_NIMO_7670060006"	1	"c9a1902de84d475ebbf40c9883cb1b16"	"2019-10-18T16:30:49-05:00"
"NYISO_NIMO_8716464101"	1	"6af8f199006344649d2cef4dd2e2d47c"	"2019-10-18T16:30:45-05:00"
"NYISO_NIMO_7760698009"	1	"d3b639a9509a4d73bcc96fae6a842a9d"	"2019-10-18T16:30:45-05:00"
"NYISO_NIMO_2820504007"	1	"852c8cf1fc274bef9181d0f83748a5ac"	"2019-10-18T16:30:43-05:00"
"NYISO_NIMO_2499271002"	1	"ce7b53dd22104d3ea2cc764b3deb55a5"	"2019-10-18T16:30:39-05:00"
"NYISO_NIMO_1976465103"	1	"d06f9fbe03054287ab3a74acc594e17c"	"2019-10-18T16:30:39-05:00"
"NYISO_NIMO_8988832004"	1	"bab760b925564b5ea47b38a76ef7dd9f"	"2019-10-18T16:30:35-05:00"
"NYISO_NIMO_5178349002"	1	"ea36089659574ec584af0bfe00879c76"	"2019-10-18T16:30:34-05:00"
"NYISO_NIMO_3480921009"	1	"42e6386ded764146b3832d4d4a86fa7a"	"2019-10-18T16:30:33-05:00"
"NYISO_NYSEG_N01000008312845"	1	"be44b6eef17c435dbb8e872a282e1c88"	"2019-10-18T16:30:19-05:00"
"NYISO_NIMO_8288362003"	1	"a496c4b39c054b7bba7a7a3b30dd1727"	"2019-10-18T16:30:19-05:00"
"NYISO_NIMO_8756464103"	1	"508da49c265e48e583b15d8766629bcb"	"2019-10-18T16:30:19-05:00"
